URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
R075,Alliance,Shell,SHELL COLES EXPRESS PARABURDOO,ROCKLEA RD & CAMP RD,PARABURDOO,WA,6754,-23.20443396,117.6712461,Open,Regional,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
R076,Alliance,Shell,SHELL COLES EXPRESS PORT HEDLAND,WILSON STREET,PORT HEDLAND,WA,6721,-20.31174401,118.606641,Open,Regional,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
S020,Alliance,Shell,SHELL COLES EXPRESS BUNBURY GATEWAY,12 CLAUGHTON WAY,GLEN IRIS,WA,6230,-33.334859,115.685131,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
S099,Alliance,Shell,SHELL COLES EXPRESS HALLS CREEK,1 MCDONALD PL,HALLS CREEK,WA,6770,-18.224822,127.666723,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
S113,Alliance,Shell,SHELL COLES EXPRESS KARRATHA TRAVEL & TRUCK,6 MADIGAN ROAD (NORTH WEST COASTAL HWY),KARRATHA,WA,6714,-20.79489881,116.7774787,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
S121,Liberty Oil Convenience (LOC),Shell,SHELL KATANNING,24 CORNWALL STREET,KATANNING,WA,6317,-33.697429,117.560383,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No
S126,Alliance,Shell,SHELL COLES EXPRESS KUNUNURRA ROADHOUSE,LOT 2259 IVANHOE RD,KUNUNURRA,WA,6743,-15.780987,128.732038,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
S142,Viva Direct (DO),Shell,SHELL MADURA,EYRE HIGHWAY,MADURA,WA,6443,-31.899568,127.020713,Open,Remote,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No
S146,Alliance,Shell,SHELL COLES EXPRESS MEEKATHARRA ROADHOUSE,LOT 821 GREAT NORTHERN HWY (MAIN ST),MEEKATHARRA,WA,6642,-26.598716,118.491233,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
S162,Liberty Oil Australia,Shell,SHELL WEST KALGOORLIE UNMANNED,2 BINSDEN RD,KALGOORLIE WEST,WA,6430,-30.77719539,121.4311328,Open,Remote,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
