URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
A157,Alliance,Shell,SHELL COLES EXPRESS LIVERPOOL,338-340 HUME HIGHWAY,LIVERPOOL,NSW,2170,-33.931562,150.91762,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes
A340,Alliance,Shell,SHELL COLES EXPRESS MARSDEN PARK NORTH,920 RICHMOND RD,MARSDEN PARK,NSW,2765,-33.71559717,150.8425616,Open,Metro,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
A212,Alliance,Shell,SHELL COLES EXPRESS MOUNT ANNAN,241 WATERWORTH DRIVE,MOUNT ANNAN,NSW,2567,-34.049392,150.760258,Open,Metro,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
A678,Viva Direct (DO),Shell,SHELL NARRABRI TRUCKSTOP,11553 NEWELL HWY,NARRABRI,NSW,2390,-30.34874614,149.756994,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
A512,Alliance,Shell,SHELL COLES EXPRESS NARRANDERA,113 AUDLEY ST (CNR CADDELL ST),NARRANDERA,NSW,2700,-34.747801,146.550384,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No
A620,Liberty Oil Australia,Shell,SHELL NEVERTIRE UNMANNED,MITCHELL HIGHWAY,NEVERTIRE,NSW,2826,-31.84051981,147.7196829,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
A710,Viva Direct (DO),Shell,SHELL ORANGE,48-52 PEISLEY ST,ORANGE,NSW,2800,-33.293959,149.101936,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
A715,Viva Direct (DO),Shell,SHELL ORANGE UNMANNED,34-38 PEISLEY ST,ORANGE,NSW,2800,-33.2953,149.102,Open,Regional,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
A578,Viva Direct (DO),Shell,SHELL TEA TREE,158 MT DARRAGH RD,PAMBULA SOUTH,NSW,2549,-36.9432,149.847,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
B938,Viva Direct (DO),Shell,SHELL NORTH PARKES DRIVEWAY,46 PEAKHILL ROAD,PARKES,NSW,2870,-33.12177691,148.1742148,Open,Regional,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No
B806,Liberty Oil Australia,Shell,SHELL PORT KEMBLA UNMANNED,87-89 FLINDERS STREET,PORT KEMBLA,NSW,2505,-34.46960162,150.8950243,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
A720,Viva Direct (DO),Shell,SHELL OTR PRESTONS,1-5 YATO ROAD,PRESTONS,NSW,2170,-33.93930792,150.8681557,Open,Metro,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
A712,Liberty Oil Australia,Shell,SHELL PARRAMATTA UNMANNED,DURHAM STREET,ROSEHILL,NSW,2142,-33.821054,151.039785,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
A041,Alliance,Shell,SHELL COLES EXPRESS LITHGOW,888 GREAT WESTERN HIGHWAY (CNR MAGPIE HOLLOW RD),SOUTH BOWENFELS,NSW,2790,-33.50605702,150.1241485,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No
B874,Alliance,Shell,SHELL COLES EXPRESS SUTTON FOREST EAST,13125 HUME HIGHWAY (CNR SALLY CORNER RD),SUTTON FOREST,NSW,2577,-34.607743,150.228156,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
B907,Alliance,Shell,SHELL COLES EXPRESS SUTTON FOREST WEST,13124 HUME HIGHWAY,SUTTON FOREST,NSW,2577,-34.60793251,150.2252091,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
B843,Liberty Oil Australia,Shell,SHELL TAMWORTH UNMANNED,9-13 GUNNEDAH ROAD,TAMWORTH,NSW,2340,-31.09564452,150.908346,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
A744,Viva Direct (DO),Shell,SHELL TOMAGO,793 TOMAGO RD (CNR OLD PUNT RD),TOMAGO,NSW,2322,-32.82200789,151.6996822,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
B886,Alliance,Shell,SHELL COLES EXPRESS TUMUT,168-170 SNOWY MOUNTAINS HWY,TUMUT,NSW,2720,-35.30251365,148.2019707,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No
A149,Westside Petroleum,Shell,SHELL WANDANDIAN,2720 PRINCES HIGHWAY,WANDANDIAN,NSW,2540,-35.091424,150.507625,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
A351,Alliance,Shell,SHELL COLES EXPRESS WETHERILL PARK HORSLEY DRIVE,1181 THE HORSLEY DRIVE,WETHERILL PARK,NSW,2164,-33.849862,150.900886,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
B942,Alliance,Shell,SHELL COLES EXPRESS WETHERILL PARK ELIZABETH,37  ELIZABETH ST (CNR VICTORIA  ST),WETHERILL PARK,NSW,2164,-33.845582,150.899064,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
B573,Alliance,Shell,SHELL COLES EXPRESS WYALONG,MID WESTERN HWY & NICHOLSON LANE,WYALONG,NSW,2671,-33.92511,147.255708,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
S704,Alliance,Shell,SHELL COLES EXPRESS ALICE SPRINGS TRUCK STOP,DALGETY RD & LILBILI ST,ALICE SPRINGS,NT,870,-23.667654,133.86474,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
S705,Viva Direct (DO),Shell,SHELL THREEWAYS ROADHOUSE,CNR STUART & BARKLY HWYS,TENNANT CREEK,NT,860,-19.436665,134.208238,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
S707,Viva Direct (DO),Shell,SHELL DUNMARRA WAYSIDE INN,13729 STUART HIGHWAY,BIRDUM,NT,852,-16.679578,133.412491,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
S711,Liberty Oil Convenience (LOC),Shell,SHELL KATHERINE UNMANNED,7 GILLARD CRESCENT (CNR ZIMMEN DVE),COSSACK,NT,850,-14.4538,132.245,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
S748,Viva Direct (DO),Shell,SHELL AYERS ROCK,257 YULARA DRIVE,YULARA,NT,872,-25.240114,130.990072,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
S768,Company Controlled,Caltex,OTR BERRIMAH TRUCK CITY,3921 BERRIMAH RD,BERRIMAH,NT,828,-12.435191,130.923813,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,Yes
S780,Company Controlled,Caltex,OTR KNUCKEY LAGOON (CALTEX),687 STUART HIGHWAY,KNUCKEY LAGOON,NT,828,-12.43449382,130.9238586,Open,Regional,No,No,No,No,No,Yes,Yes,No,No,No,No,,,No,Yes
S787,Company Controlled,Caltex,OTR KATHERINE (CALTEX),85 BICENTENNIAL ROAD,KATHERINE SOUTH,NT,850,-14.47055999,132.2750498,Open,Remote,No,No,No,No,No,Yes,Yes,No,No,No,No,,,No,Yes
S775,Company Controlled,Caltex,OTR BERRIMAH WISHART Road,5 WISHART RD,BERRIMAH,NT,828,-12.46033,130.925201,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,No
J012,Alliance,Shell,SHELL COLES EXPRESS CURRUMBIN,1 STEWART RD,CURRUMBIN WATERS,QLD,4223,-28.14649346,153.4762526,Open,Metro,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
J035,Viva Direct (DO),Shell,SHELL RUSTYS,4114 WARREGO HWY,HATTON VALE,QLD,4341,-27.5656926,152.4496277,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
J040,Alliance,Shell,SHELL COLES EXPRESS GARBUTT,346 INGHAM ROAD,GARBUTT,QLD,4814,-19.2648207,146.7707064,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
J056,Viva Direct (DO),Shell,SHELL MOONIE CROSSROADS,1 MOONIE HIGHWAY,MOONIE,QLD,4406,-27.7175254,150.3700799,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
J063,Alliance,Shell,SHELL COLES EXPRESS DELTA BRUCE HWY,19081 BRUCE HWY (CNR COLLINSVILLE RD),BOWEN,QLD,4805,-20.016785,148.191349,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
J442,Alliance,Shell,SHELL COLES EXPRESS BLACKWATER,18 RAILWAY STREET (CNR COLUMBA ST),BLACKWATER,QLD,4717,-23.585306,148.882619,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
J461,Alliance,Shell,SHELL COLES EXPRESS ROCKHAMPTON GLADSTONE RD,140-146 GLADSTONE RD,ROCKHAMPTON,QLD,4700,-23.39541916,150.5054838,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
J470,Alliance,Shell,SHELL COLES EXPRESS ROCKLEA,1728 IPSWICH RD (CNR SHETTLETON ST),ROCKLEA,QLD,4106,-27.560077,153.00047,Open,Metro,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
J504,Alliance,Shell,SHELL COLES EXPRESS YATALA,HENRY HESTER DRV,STAPYLTON,QLD,4207,-27.729307,153.224631,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes
J515,Alliance,Shell,SHELL COLES EXPRESS JIMBOOMBA,2-4 TAMBORINE ST (CNR MT LINDESAY HWY),JIMBOOMBA,QLD,4280,-27.821436,153.030367,Open,Metro,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
J538,Alliance,Shell,SHELL COLES EXPRESS GOODNA,2 RAILWAY TERRACE (CNR IPSWICH MOTORWAY),GOODNA,QLD,4300,-27.600672,152.88491,Open,Metro,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
J549,Viva Direct (DO),Shell,SHELL LONGREACH SERVICE CENTRE,1 WONGA ST,LONGREACH,QLD,4730,-23.441347,144.254239,Open,Regional,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No
J620,Viva Direct (DO),Shell,SHELL GOLDEN HARVEST TOOWOOMBA,392 BOUNDARY ST (CNR BRIDGE ST),WILSONTON,QLD,4350,-27.53608626,151.9055512,Open,Regional,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
J791,Alliance,Shell,SHELL COLES EXPRESS NUDGEE,1097 NUDGEE RD,BANYO,QLD,4014,-27.37851,153.093259,Open,Metro,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
J810,Alliance,Shell,SHELL COLES EXPRESS GLASS HOUSE MOUNTAINS INBOUND,4288 BRUCE HWY (SOUTHBOUND),GLASS HOUSE MOUNTAINS,QLD,4518,-26.917344,152.996593,Open,Metro,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
J811,Liberty Oil Australia,Shell,SHELL MACKAY UNMANNED,1 INTERLINK COURT,PAGET,QLD,4740,-21.1873,149.163,Open,Regional,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
J813,Alliance,Shell,SHELL COLES EXPRESS GLASS HOUSE MOUNTAINS OUTBOUND,4249 BRUCE HWY (NORTHBOUND),GLASS HOUSE MOUNTAINS,QLD,4518,-26.920042,152.993578,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
J816,Liberty Oil Australia,Shell,SHELL TAROOM UNMANNED,5-9 NORTH ST,TAROOM,QLD,4420,-25.63521868,149.797956,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
J822,Liberty Oil Australia,Shell,SHELL EMERALD UNMANNED,25 WILLS RD,EMERALD,QLD,4720,-23.48911264,148.1442567,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
J827,Alliance,Shell,SHELL COLES EXPRESS COOMERA TRUCK STOP,487 OLD PACIFIC HIGHWAY (EXIT 54 PACIFIC MOTORWAY),COOMERA,QLD,4209,-27.85517084,153.3099526,Open,Metro,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
K649,Viva Indirect (DO),Shell,SHELL CAIRNS TRUCKSTOP,CNR KENNY ST & DRAPER ST,CAIRNS,QLD,4870,-16.932118,145.773826,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
K652,Viva Direct (DO),Shell,SHELL AYR,245 QUEEN STREET,AYR,QLD,4807,-19.5827,147.399,Open,Regional,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes
K655,Alliance,Shell,SHELL COLES EXPRESS MOUNT ISA TRUCKPORT,221-239 BARKLY HWY,MOUNT ISA,QLD,4825,-20.693832,139.488494,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
K718,Liberty Oil Convenience (LOC),Shell,SHELL WARWICK UNMANNED,2 WOOD ST,WARWICK,QLD,4370,-28.22153611,152.0383915,Open,Regional,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
K723,Liberty Oil Australia,Shell,SHELL GLADSTONE UNMANNED,62 HANSON ROAD,GLADSTONE,QLD,4680,-23.84042253,151.2460494,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
K724,Liberty Oil Australia,Shell,SHELL STRATHPINE UNMANNED,125 SOUTH PINE ROAD,BRENDALE,QLD,4500,-27.32241582,152.987342,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
K792,Liberty Oil Australia,Shell,SHELL GOONDIWINDI UNMANNED,2-14 CEMETERY ROAD (CNR CUNNINGHAM HWY),GOONDIWINDI,QLD,4390,-28.53438863,150.3301208,Open,Regional,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes
K937,Alliance,Shell,SHELL COLES EXPRESS BRENDALE,2 LINKFIELD ROAD,BRENDALE,QLD,4500,-27.3278825,152.9869442,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,,Yes,No
K938,Liberty Oil Convenience (LOC),Shell,SHELL ARATULA TRUCKSTOP,6776 CUNNINGHAM HWY,ARATULA,QLD,4309,-27.983812,152.546008,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
X084,Liberty Oil Convenience (LOC),Shell,SHELL RICHMOND (MIDWAY),120 GOLDRING ST,RICHMOND,QLD,4822,-20.73726219,143.1462021,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
X288,Liberty Oil Convenience (LOC),Liberty,LIBERTY MILES,66 MCNULTY ST,MILES,QLD,4415,-26.6611,150.184,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,Yes,No
X293,Liberty Oil Convenience (LOC),Liberty,LIBERTY ROMA,70-72 QUINTIN ST,ROMA,QLD,4455,-26.577868,148.784022,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,,,Yes,No
X348,Liberty Oil Convenience (LOC),Liberty,LIBERTY BILOELA,13 BURNETT HIGHWAY,BILOELA,QLD,4715,-24.4045333,150.5132297,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
X377,Liberty Oil Australia,Shell,SHELL ROADHOUSE GORE,3 CUNNINGHAM HIGHWAY,GORE,QLD,4352,-28.2946698,151.4868598,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
X477,Liberty Oil Convenience (LOC),Liberty,LIBERTY DALBY,18420 WARREGO HIGHWAY,DALBY,QLD,4405,-27.16934164,151.2307697,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes
J125,Viva Direct (DO),Shell,SHELL KARAWATHA,19 FOREST WAY,KARAWATHA,QLD,4117,-27.65123058,153.0757596,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
J126,Company Controlled,Caltex,S24 CALLIOPE (CALTEX),1906 DAWSON HWY,CALLIOPE,QLD,4680,-23.98245031,151.2125965,Open,Regional,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,,,Yes,Yes
J132,Company Controlled,Caltex,S24 MOUNT LARCOM (CALTEX),57017 BRUCE HWY,MOUNT LARCOM,QLD,4695,-23.80632479,150.970528,Open,Regional,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,,,Yes,Yes
K772,Company Controlled,Caltex,S24 BANANA (CALTEX),19 BOWEN ST,BANANA,QLD,4702,-24.47240277,150.1277569,Open,Regional,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
M022,Alliance,Shell,SHELL COLES EXPRESS TAILEM BEND,69-71 PRINCES HWY,TAILEM BEND,SA,5260,-35.254071,139.45345,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
M057,Viva Direct (DO),Shell,SHELL BLANCHETOWN,8657 STURT HIGHWAY,BLANCHETOWN,SA,5357,-34.35068422,139.6029774,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
M071,Alliance,Shell,SHELL COLES EXPRESS MANSFIELD PARK,452 GRAND JUNCTION RD,MANSFIELD PARK,SA,5012,-34.85046362,138.5545329,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
M233,Viva Direct (DO),Shell,SHELL COOBER PEDY ROADHOUSE,454 HUTCHISON ST,COOBER PEDY,SA,5723,-29.015821,134.754946,Open,Regional,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
M243,Alliance,Shell,SHELL COLES EXPRESS PORT AUGUSTA METEOR ROADHOUSE,29207 AUGUSTA HIGHWAY,PORT AUGUSTA,SA,5700,-32.510692,137.797528,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
M279,Alliance,Shell,SHELL COLES EXPRESS PORT WAKEFIELD,2 SNOWTOWN RD,PORT WAKEFIELD,SA,5550,-34.182968,138.153594,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
M470,Liberty Oil Australia,Shell,SHELL REGENCY PARK UNMANNED,64 PEDDERS CRESCENT,REGENCY PARK,SA,5010,-34.87330804,138.5794104,Open,Metro,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes
X071,Viva Direct (DO),Shell,SHELL TINTINARA,22 DUKES HIGHWAY,TINTINARA,SA,5266,-35.9029,140.081,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No
X146,Liberty Oil Australia,Shell,SHELL PORT LINCOLN UNMANNED,PINE FREEZERS RD (CNR WESTERN APPROACH RD),PORT LINCOLN,SA,5606,-34.74656027,135.841361,Open,Regional,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes
X276,Liberty Oil Convenience (LOC),Liberty,LIBERTY SEAFORD,47 ERIC ROAD,OLD NOARLUNGA,SA,5168,-35.1856847,138.4911626,Open,Regional,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,,,Yes,Yes
X408,Liberty Oil Australia,Shell,SHELL BORDERTOWN UNMANNED,14 DUKES HIGHWAY,BORDERTOWN,SA,5268,-36.2999224,140.7599505,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,,Yes,Yes
X429,Viva Direct (DO),Shell,SHELL MYPONGA,33-35 MAIN SOUTH ROAD,MYPONGA,SA,5202,-35.3936471,138.4616562,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
X467,Viva Direct (DO),Liberty,LIBERTY PORT WAKEFIELD SOUTH,8666 PORT WAKEFIELD HIGHWAY,PORT WAKEFIELD,SA,5550,-34.189316,138.1544933,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
M169,Company Controlled,BP,OTR NARACOORTE,1 DEVIATION RD,NARACOORTE,SA,5271,-36.959053,140.731689,Open,Regional,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M242,Company Controlled,BP,OTR NURIOOTPA,5 TANUNDA RD,NURIOOTPA,SA,5355,-34.47658216,138.9950727,Open,Regional,No,No,No,No,No,No,No,No,No,No,No,,,Yes,Yes
M262,Company Controlled,BP,OTR PINNAROO,4 MALLEE HWY,PINNAROO,SA,5304,-35.260368,140.913864,Open,Remote,No,No,No,No,No,No,No,No,No,No,No,,,Yes,Yes
M280,Company Controlled,BP,OTR BERRI,1314 OLD STURT HWY,BERRI,SA,5343,-34.27225973,140.607632,Open,Regional,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M286,Company Controlled,BP,OTR PORT WAKEFIELD ROAD,859 PORT WAKEFIELD RD,BOLIVAR,SA,5110,-34.76847363,138.59321,Open,Regional,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M330,Company Controlled,BP,OTR MOUNT GAMBIER EAST,1-3 RAMSAY AVE,MOUNT GAMBIER,SA,5290,-37.834671,140.8022,Open,Regional,No,No,No,No,No,No,No,No,No,No,No,,,Yes,Yes
M370,Company Controlled,BP,OTR PORT AUGUSTA,10 AUGUSTA HWY,PORT AUGUSTA,SA,5700,-32.51162,137.802582,Open,Regional,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M374,Company Controlled,BP,OTR PORT WAKEFIELD,22 SNOWTOWN RD,PORT WAKEFIELD,SA,5550,-34.180981,138.154099,Open,Regional,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M377,Company Controlled,BP,OTR RIDLEYTON,201 SOUTH RD,RIDLEYTON,SA,5008,-34.88980152,138.5701002,Open,Metro,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M393,Company Controlled,BP,OTR BORDERTOWN,1 DUKES HWY,BORDERTOWN,SA,5268,-36.297859,140.757294,Open,Regional,No,No,No,No,No,No,No,No,No,No,No,,,Yes,Yes
M396,Company Controlled,BP,OTR CAVAN INBOUND,144 PORT WAKEFIELD RD,CAVAN,SA,5094,-34.83050243,138.5991977,Open,Metro,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M397,Company Controlled,Advantage,OTR CEDUNA MOZIES,55 MCKENZIE ST,CEDUNA,SA,5690,-32.121681,133.687103,Open,Remote,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,Yes
M399,Company Controlled,BP,OTR CEDUNA,35 EYRE HWY,CEDUNA,SA,5690,-32.1140263,133.6726565,Open,Remote,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M413,Company Controlled,BP,OTR DRY CREEK,15 VATER ST,DRY CREEK,SA,5094,-34.81950218,138.5917043,Open,Metro,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M421,Company Controlled,BP,OTR MOTORSPORT PARK TAILEM BEND,543 DUKES HWY,TAILEM BEND,SA,5260,-35.3037939,139.5007216,Open,Regional,No,No,No,No,No,No,Yes,No,No,No,No,,,Yes,Yes
M194,Liberty Oil Australia,Mogas,KIMBA UNMANNED (MOGAS),15351 EYRE HWY,KIMBA,SA,5641,-33.1417598,136.4191587,Open,Remote,No,No,No,No,No,No,No,No,No,No,No,,,No,No
X408,Liberty Oil Australia,Shell,SHELL BORDERTOWN UNMANNED,14 DUKES HIGHWAY,BORDERTOWN,SA,5268,-36.2999224,140.7599505,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,,Yes,Yes
X472,Liberty Oil Australia,TPSC,DUNNING'S YALATA UNMANNED,EYRE HIGHWAY,YALATA,SA,5690,-31.49580231,131.8121735,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
H009,Viva Direct (DO),Shell,SHELL BURNIE PORT UNMANNED,1 BOLLARD DRIVE,BURNIE,TAS,7320,-41.057977,145.910061,Open,Regional,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
H010,Viva Direct (DO),Shell,SHELL WESTBURY UNMANNED,25 ROXFORD AVENUE,WESTBURY,TAS,7303,-41.509,146.824,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
H014,Viva Direct (DO),Shell,SHELL SCOTTSDALE UNMANNED,18 TEN MILE TRACK,SCOTTSDALE,TAS,7260,-41.18659899,147.5501985,Open,Regional,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
H017,Viva Direct (DO),Shell,SHELL CAMBRIDGE UNMANNED,116 CAMBRIDGE PARK DRIVE,CAMBRIDGE,TAS,7170,-42.8337692,147.4794284,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
H099,Viva Direct (DO),Shell,SHELL BRIDGEWATER UNMANNED,1 GLENSTONE ROAD,BRIDGEWATER,TAS,7030,-42.7217,147.232,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
